Ref;Nombre;instalaciones;Dirección;Municipio;Código Municipio;Provincia;Código Provincia;Teléfono
2084;FRONTÓN MUNICIPAL;Frontón;Pº GERNIKA S/N ;Beasain;019;Gipuzkoa;20;34943028050
2085;CAMINO DE SANTIAGO POR EL INTERIOR;Camino de santiago;CALLE MAYOR S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2086;C.E.I.P HAIZEDER;Aula psicomotricidad;BARRIO NATXITUA S/N ;Artea;023;Bizkaia;48;34946275227
2087;CEIP UGARO;Gimnasio#Pista polivalente#polideportivo 'Harripila';Eskolaldea kalea 4 ;Legorreta;052;Gipuzkoa;20;34943085000
2088;CARRIL BICI BEASAIN-ATAUN;Carril bici;C/ SENPERE S/N ;Beasain;019;Gipuzkoa;20;34943028050
2089;CAMPO FÚTBOL ZUBIARRAIN;Pista polideportiva#Frontón;Bº ERREKALDE S/N ;Olaberria;058;Gipuzkoa;20;34943881434
2090;FRONTÓN DE UGARTE;Frontón;Joxean Tolosa kalea s/n ;Amezketa;008;Gipuzkoa;20;34943653189
2091;BOLERA BERRICANO;Bolera de berrikano;NAGUSIA KALEA S/N ;Zigoitia;018;Araba/Álava;01;34945464041
2092;BOLERA SAN ISIDRO;Bolera;Bº Aldana s/n  ;Amorebieta-Etxano;003;Bizkaia;48;34946732714
2093;PISTAS POLIVALENTES;Pista polideportiva 1#Pista polideportiva 2#Tenis de mesa;C/GOIKOLANDA S/N ;Zigoitia;018;Araba/Álava;01;34945464041
2094;CAMPO DE FÚTBOL IPINTZA;Campo de fútbol;Pº BONI LASKURAIN 21 ;Bergara;074;Gipuzkoa;20;34943777095
2095;PISTA POLIDEPORTIVA DE EL CASAL;Pista polideportiva;Barrio El Casal s/n ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946361207
2096;ZONA DEPORTIVA AGORROSIN;Vaso deportivo#Vaso enseñanza#Sala spinning#Sala polivalente pequeña#Sala polivalente grande#Sala musculación#Sala yoga p1#Vaso recreativo exterior#Vaso hidromasaje;Pº BONI LASKURAIN 21 ;Bergara;074;Gipuzkoa;20;34943777095
2097;PR-BI 16 VUELTA A ARRIGORRIAGA;Sendero;Madariaga auzoa s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2098;PR-BI 35;Sendero;PL. Zubiaur s/n ;Orozko;075;Bizkaia;48;34946339823
2099;PR-BI 32;Sendero;PL. Zubiaur s/n ;Orozko;075;Bizkaia;48;34946339823
2100;PR-A85 PUERTO DE BERNEDO;Sendero;PLAZA DEL COSO S/N ;Kripan;019;Araba/Álava;01;34945608108
2101;POLIDEPORTIVO MUNICIPAL ELEXALDE;Frontón grande#Frontón#Sala polivalente gimnasio#Sala halterofilia;Elexalde auzoa s/n ;Galdakao;036;Bizkaia;48;34944010572
2102;PISTA TENIS TIMOTEO SARASKETA;;Bº ALZOLA (POLÍGONO ARRIAGA) S/N ;Elgoibar;032;Gipuzkoa;20;
2103;FRONTÓN MURKAIKUPE;Frontón#Probadero;Bº S. MIGUEL S/N ;Elgoibar;032;Gipuzkoa;20;34943741050
2104;C.P. TXINKORTA;Pista polivalente#Tenis de mesa;Agerre-azpi 29 ;Bidegoian;;Gipuzkoa;;34943681089
2105;CENTRO DE DIA ASISTENCIAL GAZTAINONDO;Sala de yoga;HIRIGUNE SAKABANATUA 4 B ;Berastegi;022;Gipuzkoa;20;34943683000
2106;PR BI 173 GERNIKA-LUMO, TODO ES UNO;Sendero;BARRIO DE ELEIZALDE S/N ;Errigoiti;079;Bizkaia;48;34946254190
2107;PISTA POLIDEPORTIVA CUBIERTA;Pista polideportiva#Tenis mesa;Calle Severo Ochoa 1 ;Arrigorriaga;011;Bizkaia;48;34946712361
2108;PR-A 66  SENDA SANTA TEODOSIA;Sendero;C/ MAYOR S/N ;Harana/Valle de Arana;056;Araba/Álava;01;34945406006
2109;PR-GI 97 ORO-LARRINO-URKULU-AORATZA;Sendero;C/ OTALORA S/N ;Aretxabaleta;013;Gipuzkoa;20;34943711862
2110;LOCAL MUNICIPAL;Sala polivalente;C/ DURANA 30 ;Aretxabaleta;013;Gipuzkoa;20;34943712628
2111;FRONTÓN MUNICIPAL;Frontón;GARAI AUZOA 3 ;Gatika;040;Bizkaia;48;34946151250
2112;PR-A 79. PEÑACERRADA-TOLOÑO;Pequeño recorrido;C/ DE LA RIOJA S/N ;Peñacerrada-Urizaharra;044;Araba/Álava;01;34945367004
2113;FRONTÓN ALMIKE;Frontón;ALMIKE AUZOA  S/N ;Bermeo;017;Bizkaia;48;34946179100
2114;ÁREA DE MANTENIMIENTO;Área de mantenimiento;AVDA. Trañabarren 13 ;Abadiño;001;Bizkaia;48;34946816684
2115;PISTA MUNICIPAL;Pista de fútbol sala;Barrio Zelaia  s/n ;Arantzazu;006;Bizkaia;48;34946315689
2116;C.Pr. SAN FIDEL;Pista polideportiva#Frontón#Pista polideportiva cubierta;CARLOS GANGOITI KALEA 11 ;Gernika-Lumo;046;Bizkaia;48;34946250980
2117;FRONTÓN SIGMA;Frontón;C/ AITZBIZKAR (Bº SIGMA) S/N ;Elgoibar;032;Gipuzkoa;20;34943741050
2118;C.Pr. ELGOIBAR;Pista polideportiva 1#Pista polideportiva 2#Pista fútbol exterior#Gimnasio#Frontón;C/ ERMUAREN BIDE 7 ;Elgoibar;032;Gipuzkoa;20;34943744441
2119;CARRIL BICI;Carril bici;Bº BEHEKO AUZOA (CTRA GI-632) S/N ;Antzuola;011;Gipuzkoa;20;34943766246
2120;ESTADIO POLIDEPORTIVO AGORROSIN;Campo fútbol#Pista atletismo#Pista polideportiva;Pº BONI LASKURAIN 21 ;Bergara;074;Gipuzkoa;20;34943777095
2121;PR-BI 177;Sendero;MALOSTE KALEA S/N ;Gernika-Lumo;046;Bizkaia;48;34946270045
2122;GR-99 CAMINO DEL EBRO;Gr-99;FELIPE IV KALEA S/N ;Oyón-Oion;043;Araba/Álava;01;34945622190
2123;FRONTÓN DEL ESPOLÓN;Frontón;C/ MINTEGI S/N ;Bergara;074;Gipuzkoa;20;34943779100
2124;GR 38 RUTA DEL VINO Y EL PESCADO;Gr-38;CTRA. DE LOGROÑO A-124 S/N ;Lanciego/Lantziego;032;Araba/Álava;01;34945608041
2125;IES DE HOSTELERIA;Pista  baloncesto#Tenis mesa;Sixta Barrenetxea kalea 24 ;Galdakao;036;Bizkaia;48;34944560458
2126;POLIDEPORTIVO MUNICIPAL URRETA;Rocódromo#Vaso grande#Vaso pequeño#Sala polivalente#Sala squash#Sala padel#Sala polivalente gimnasio#Sala spining#Pista polideportiva;Bizkai kalea 44 ;Galdakao;036;Bizkaia;48;34944562703
2127;GIMNASIO MABER;;C/ DE KOLDO ELEIZALDE 14 ;Bergara;074;Gipuzkoa;20;
2128;CARRIL BICI DEL DEBA;Carril bici;Bº OSINTXU S/N ;Bergara;074;Gipuzkoa;20;34943779100
2129;POLIDEPORTIVO DE UNKINA;Frontón#Pista polideportiva#Piscina;Camino de Meatzeta s/N ;Galdakao;036;Bizkaia;48;34944567973
2130;PISTA TENIS RODISA;;Bº ALZOLA (POLÍGONO ARRIAGA) S/N ;Elgoibar;032;Gipuzkoa;20;
2131;FRONTÓN S.LORENZO;Frontón;Bº SAN LORENZO S/N  ;Elgoibar;032;Gipuzkoa;20;34943741050
2132;PR-GI 76 ASTEASU-ZELATUN;Espacio deportivo #1 sendero;Kale Nagusia s/n ;Asteasu;014;Gipuzkoa;20;34943697413
2133;ESPACIO DE TENIS DE MESA;Mesa de ping-pong;AVDA DE LA CIRCUNVALACIÓN S/N ;Lapuebla de Labarca;033;Araba/Álava;01;34945607051
2134;FRONTÓN MUNICIPAL IBARRURI;Frontón;IBARRURI AUZOA S/N ;Muxika;067;Bizkaia;48;34946252701
2135;GR 38 RUTA DEL VINO Y EL PESCADO;Sendero;ZUGASTIETA AUZOA S/N ;Muxika;067;Bizkaia;48;34946252701
2136;ZONA DE CAZA CONTROLADA;Zona de caza controlada;ARIATZA AUZOA S/N ;Muxika;067;Bizkaia;48;34946252701
2137;PISTA FUTBOL SALA DE OLLARGAN;Pista  futbol sala#Tenis mesa;Montefuerte auzoa  s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2138;PISCINA MUNICIPAL DE LEZA;Piscina;CALLE MAYOR S/N ;Leza;034;Araba/Álava;01;34945605021
2139;GR-282 SENDA DEL PASTOREO;Sendero;C/ DE SAN PEDRO S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2140;FRONTÓN MUNICIPAL;Frontón;AVDA. DE LAS JUNTAS GENERALES S/N ;Campezo/Kanpezu;017;Araba/Álava;01;34945405443
2141;FRONTON BUJANDA;;Calle Mayor S/N ;Campezo/Kanpezu;017;Araba/Álava;01;34945405443
2142;CENTRO SOCIOCULTURAL ZIGOITIA;Sala oketa;BENGOLARRA  1 ;Zigoitia;018;Araba/Álava;01;34945464400
2143;BOLERA DE ZESTAFE;Bolera de zestafe;C/ DE KOSTARABIDE S/N ;Zigoitia;018;Araba/Álava;01;34945464041
2144;C.Pr. LA SALLE-LEGAZPI;Frontón#Pista baloncesto#Pista fútbol 1#Pista fútbol 2#Pista balonmano 1#Pista balonmano 2#Gimnasio#Sala psicomotricidad;C/ IÑIGO DE LOIOLA 7 ;Zumarraga;080;Gipuzkoa;20;34943721514
2145;GR 120 RUTA DE LOS TRES TEMPLOS;Sendero;ANTIOKO BASELIZA S/N ;Zumarraga;080;Gipuzkoa;20;34943729022
2146;PR-BI 161 EN PLENO CORAZÓN DEL ENCINAR;Sendero;HERRIKO PLAZA S/N ;Gautegiz Arteaga;041;Bizkaia;48;34946252953
2147;TENIS MESA DE LA ARENA;Tenis mesa;Barrio La Arena s/n ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946365336
2148;BOLERA DE TELLERIARTE;Bolera;Bº TELLERIARTE S/N ;Legazpi;051;Gipuzkoa;20;34943737030
2149;PARQUE SALUDABLE EN LA ARENA;Parque saludable;La Arena s/n ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946365336
2150;CAMPO DE FUTBOL EL LLANO;Campo de fútbol;Barrio La Cuesta s/n ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946365336
2151;ZONA DEPORTIVA MAINONDO;Frontón #Campo de fútbol ;Barrio Mainondo 9,11 ;Otxandio;072;Bizkaia;48;34945450503
2152;PR BI 145 CAMINO DE ISPASTER;Sendero;ELEXALDE AUZOA S/N ;Ispaster;049;Bizkaia;48;34946842999
2153;POLIDEPORTIVO DE ZIERBENA;Sala polivalente#Sala polivalente gimnasio#Sala polivalente spining#Frontón;Barrio San Roman  6 ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946404877
2154;PISTA POLIVALENTE;Pista polivalente;Altzo Muino s/n ;Altzo;007;Gipuzkoa;20;34943652413
2155;PISCINA DE VILLAMANCA;Piscina;VILLAMANCA S/N ;Kuartango;020;Araba/Álava;01;34945362600
2156;CARREJO ARRASTRE MUNICIPAL;Carrejo de arrastre;KORTAZAR KALEA S/N ;Ispaster;049;Bizkaia;48;34946842999
2157;BABCOCK WILCOX ESPAÑOLA S.A.;;Barrio Elguero 0 ;Valle de Trápaga-Trapagaran;080;Bizkaia;48;34944920411
2158;CASA DE CULTURA Y DEPORTE INAXIO BEGIRISTAIN;Gimnasio#Frontón;Beristain auzoa 8 ;Alegia;005;Gipuzkoa;20;34943654698
2159;CAMPO DE FÚTBOL DE AMAROZ;Campo de fútbol#Pista polivalente#Pista de baloncesto;Amarotz auzoa s/n ;Tolosa;071;Gipuzkoa;20;34943654466
2160;EMBARCADERO DEL TINGLADO;Embarcadero#Gimnasio;Zerkausia kalea s/n ;Tolosa;071;Gipuzkoa;20;34943654466
2161;ROCÓDROMO MUNICIPAL;Rocódromo;BARRIO ELEXALDE S/N ;Mendata;062;Bizkaia;48;34946254722
2162;GR 38 RUTA DEL VINO Y EL PESCADO;Sendero;BARRIO GERRIKAITZ  S/N ;Munitibar-Arbatzegi Gerrikaitz;007;Bizkaia;48;34946164007
2163;BOLERA LARRAZCUETA;;C/ DE LARRAZKUETA S/N ;Urkabustaiz;054;Araba/Álava;01;
2164;BOLERA DE PORTILLA;;PORTILLA S/N ;Zambrana;062;Araba/Álava;01;34945337014
2165;GR-99 CAMINO DEL EBRO;Camino natural del ebro;REAL KALEA S/N ;Zambrana;062;Araba/Álava;01;34945337014
2166;FRONTÓN MUNICIPAL DE ZAMBRANA;Frontón;ZAMBRANA S/N ;Zambrana;062;Araba/Álava;01;34945337014
2167;SL SENDA BAYAS-GORBEA;Senda baias - gorbeia.;PARQUE NATURAL DEL GORBEA S/N ;Zuia;063;Araba/Álava;01;34945460366
2168;TENIS DE MESA;Tenis de mesa;C/ DE SANTA ANA S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2169;PISTA POLIDEPORTIVA;Pista polideportiva#Tenis de mesa;C/ DEL MEDIODIA S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2170;FRONTON MUSITU;Frontón;C/ SAN MARTIN S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2171;FRONTÓN APELLANIZ;Frontón;BARRIO DE BENGARA S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2172;PISCINA MUNICIPAL;Vaso deportivo#Vaso de chapoteo;C/ PAGOETA 6 ;Urretxu;077;Gipuzkoa;20;34943038080
2173;GIMNASIO MAGARTI;;C/ LABEAGA 56 ;Urretxu;077;Gipuzkoa;20;
2174;SKATE PARK;Skate park;C/ PAGOETA S/N ;Urretxu;077;Gipuzkoa;20;34943038080
2175;PISTA POLIDEPORTIVA PAGOETA;Pista polideportiva con frontón#Frontón;C/ IPEÑARRIETA 8 ;Urretxu;077;Gipuzkoa;20;34943038080
2176;BOLERA DE SABANDO;Bolera;C/ DEL MEDIODIA S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410033
2177;FRONTÓN MUNICIPAL;Frontón;KANPANTXUA AUZOA S/N ;Murueta;908;Bizkaia;48;34946252451
2178;ZONA DE CAZA CONTROLADA;Zona de caza controlada;LARRABE SN ;Murueta;908;Bizkaia;48;34946252451
2179;GR 283 RUTA DEL QUESO;Sendero;C/ JOSE MIGUEL ITURRIOTZ 16 ;Beasain;019;Gipuzkoa;20;34943028050
2180;CAMINO DE SANTIAGO POR EL INTERIOR;Sendero;C/ JOSE MIGUEL ITURRIOTZ 16 ;Beasain;019;Gipuzkoa;20;34943028050
2181;GIMNASIO WU SHU;Sala de aerobic#Sala de fitness#Sala de musculación#Sala tatami;C/ ERAUSKIN 6 ;Beasain;019;Gipuzkoa;20;
2182;POLIDEPORTIVO ANTZIZAR;Pista squash 1#Pista squash 2#Sala tiro con arco#Sala aerobic#Sala musculación equipos#Sala mini-fitness#Sala musculación#Sala actividades#Pista#Tenis mesa#Vaso recreativo grande exterior#Vaso recreativo mediano exterior#Vaso chapoteo exterior#Vaso deportivo#Vaso hidromasaje#Vaso de enseñanza#Vaso chapoteo circular#Vaso chapoteo cuadrada#Centro de tecnificación de Herri Kirolak#Gimnasio tatami#Rocódromo#Frontón#Mini-frontón;C/ IGARTZA OLETA 3 ;Beasain;019;Gipuzkoa;20;34943887900
2183;C.Pr. FRANCISCANOS;Frontón;ELEJALDE AUZOA S/N ;Forua;906;Bizkaia;48;34946255180
2184;GIMNASIO ETXEUBI;Sala polivalente;AVDA. NAFARROA 1 ;Beasain;019;Gipuzkoa;20;
2185;GR 38 RUTA DEL VINO Y EL PESCADO;Sendero;ATXONDO AUZOA S/N ;Forua;906;Bizkaia;48;34946255180
2186;FRONTÓN MATXIN;Frontón;Bº MATXINBENTA S/N ;Beasain;019;Gipuzkoa;20;34943028050
2187;FRONTÓN EZKIERDI;Frontón;Bº EZKIERDI S/N ;Beasain;019;Gipuzkoa;20;34943028050
2188;LICEO ALKARTASUNA;Pista polideportiva cubierta con frontón#Pista polideportiva#Frontón;C/ FUEROS 8 ;Beasain;019;Gipuzkoa;20;34943882684
2189;PR-BI 178 LOS MISTERIOS DE LA MARISMA;Sendero;TORRE BARRI KALEA S/N ;Forua;906;Bizkaia;48;34946255180
2190;PISTA DE FÚTBOL ELEJALDE;Pista de fútbol;TORRE BARRI KALEA S/N ;Forua;906;Bizkaia;48;34946255180
2191;C.Pr. ´LA SALLE-S.JOSE;Gimnasio;C/ SAN IGNACIO S/N ;Beasain;019;Gipuzkoa;20;34943880139
2192;CARRIL BICI BEASAIN-ORMAIZTEGI;Carril bici;C/ IGARTZA OLETA 3 ;Beasain;019;Gipuzkoa;20;34943028050
2193;CARREJO ARRASTRE MUNICIPAL;Carrejo de arrastre;ELEJALDE AUZOA S/N ;Forua;906;Bizkaia;48;34946255180
2194;FRONTÓN DEL BATZOKI;;C/ NAGUSIA 23 ;Beasain;019;Gipuzkoa;20;34943028050
2195;PR-GI 3007;Sendero;Bº BRINKOLA S/N ;Legazpi;051;Gipuzkoa;20;34943737030
2196;CARRIL BICI DEL UROLA;Carril bici;CTRA LEGAZPIA S/N ;Legazpi;051;Gipuzkoa;20;34943737030
2197;PARQUE LINARES;Campo de futbol;BERANTEVILLA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2198;BOLERA DE BERANTEVILLA;;BERANTEVILLA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2199;PISCINA NATURAL FLUVIAL RIO AYUDA;Igerilekua;BERANTEVILLA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2200;PISTA DE FÚTBOL SALA DE ANDOIN;Pista fútbol sala;ANDOIN S/N ;Asparrena;009;Araba/Álava;01;34945304006
2201;BOLERA DE TOBERA;Bolera;PLAZA DE LA IGLESIA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2202;PISTA POLIDEPORTIVA MUNICIPAL ATALAIA;Pista baloncesto;CALLE ATALAIA S/N ;Elantxobe;031;Bizkaia;48;34946276108
2203;GR 98 'VUELTA A LA RESERVA DE LA BIOSFERA DE URDABAI;Sendero;PORTU KALEA S/N ;Elantxobe;031;Bizkaia;48;34946276108
2204;FRONTON ANTOÑANA;Frontón;PLAZA DAMIAN USATEGI EMPARANTZA S/N ;Campezo/Kanpezu;017;Araba/Álava;01;34945405043
2205;POLIDEPORTIVO LAS CRUCES;Campo de fútbol#Pabellón polideportivo#Pista polideportiva#Piscina 25 mts.#Piscina pequeña;ABARRAL 6  ;Campezo/Kanpezu;017;Araba/Álava;01;34945405043
2206;PISTAS DE SANTA ISABEL;Pista  futbol sala#Pista  baloncesto;Barrio Santa Isabel s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2207;FRONTON DE OLLARGAN;Frontón;Barrio Ollargan s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2208;PISTAS POLIDEPORTIVAS DE LONBO;Pista  baloncesto#Pista  futbol sala;Lonbo auzoa s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2209;GR-21 CAMINO IGNACIANO;Sendero;Loiola auzoa s/n ;Azpeitia;018;Gipuzkoa;20;34945354006
2210;PISTAS DE TENIS;Tenis pista primera#Tenis pista segunda;Lonbo auzoa s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2211;FRONTON DE SANTA ISABEL;Frontón;Calle Santa Isabel 1 ;Arrigorriaga;011;Bizkaia;48;34946712361
2212;BOLERA;Bolera;Hiriburu s/n ;Belauntza;021;Gipuzkoa;20;34943674366
2213;FRONTÓN DE LA IGLESIA;Frontón;Hiriburu 21 ;Belauntza;021;Gipuzkoa;20;34943674366
2214;FRONTÓN MUNICIPAL;Frontón#Pared eskalada#Bulder;Hiriburu 22 ;Belauntza;021;Gipuzkoa;20;34943674366
2215;FRONTÓN LANBARKETA;Frontón;Barrio San Antonio S/N ;Arrigorriaga;011;Bizkaia;48;34946712361
2216;CAMPA PARA CORTE DE HIERBA;Pradera;Gaztelu s/n ;Gaztelu;907;Gipuzkoa;20;34943675897
2217;PISTA DE MINI BASQUET;Pista polideportiva;Kristo zeharkalea s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2218;GR 9 CAÑADA INTERPROVINCIAL;Sendero;Gaztelu s/n ;Gaztelu;907;Gipuzkoa;20;34943697413
2219;FRONTON DE URGOITI;Frontón;Paseo Urgoiti s/n ;Arrigorriaga;011;Bizkaia;48;34946712361
2220;FRONTÓN INTXAURPE;Frontón#Espacio para deporte tradicional#Probadero;Herriko plaza s/n ;Gaztelu;907;Gipuzkoa;20;34943675897
2221;PR-GI 125 ZAZPIBIDETA;Sendero;Leaburu s/n ;Leaburu;050;Gipuzkoa;20;34943697413
2222;GR 9 CAÑADA INTERPROVINCIAL;Sendero;Leaburu s/n ;Leaburu;050;Gipuzkoa;20;34943697413
2223;PR-GI 12 RECORRIDO DE LEABURU;Sendero;Leaburu s/n ;Leaburu;050;Gipuzkoa;20;34943675931
2224;FRONTÓN TTXONTTXORPE;Frontón;Leaburu 3 ;Leaburu;050;Gipuzkoa;20;34943675931
2225;FRONTÓN URREBURU;Frontón#Pista polivalente;Eutela kalea 29 ;Berrobi;023;Gipuzkoa;20;34943683294
2226;PARQUE DE BERROBI;Mesas de tenis y ajedrez;Ibai-gain kalea s/n ;Berrobi;023;Gipuzkoa;20;34943683294
2227;ZONA DE GIMNASIA;Aparatos de gimnasia;Muntegi s/n ;Berrobi;023;Gipuzkoa;20;34943683294
2228;C.E.I.P. SAN ANDRES;Pista polivalente#Gimnasio#Bulder;Jose Mari Goikoetxea 46 ;Berrobi;023;Gipuzkoa;20;34943683214
2229;SOCIEDAD DE AJEDREZ DE IBARRA;Mesas de ajedrez;Euskal Herria 44 ;Ibarra;042;Gipuzkoa;20;34943670399
2230;ZONA DEPORTIVA PARKEA;Frontón#Pista polivalente#Bolera#Gimnasio#Mesas de ajedrez#Tenis de mesa;Emeterio Arrese s/n ;Ibarra;042;Gipuzkoa;20;34943670415
2231;C.E.I.P. UZTURPE E I.E.S. UZTURPE;6 pista de baloncesto#7 pista polivalente#8 pista polivalente#3 pista de atletismo#4 pista de fútbol pequeño#5 pista de vóleibol#1 canastas de baloncesto#2 canastas de baloncesto;Egialde 2 ;Ibarra;042;Gipuzkoa;20;34943671299
2232;ZONA DEPORTIVA MAESTRO GURIDI;Frontón#Pista de tenis;Grupo Jesus Guridi s/n ;Ibarra;042;Gipuzkoa;20;34943670415
2233;CARRIL BICI;Carril bici;Bilbo kalea S/N ;Galdakao;036;Bizkaia;48;34944010572
2234;GIMNASIO DE ARMIÑON;Gimnasio;REAL KALEA S/N ;Armiñón;006;Araba/Álava;01;34945365088
2235;POLIDEPORTIVO BELABIETA;4 sala de musculación#5 bulder#6 deporte tradicional#7 cancha polivalente#8 tenis de mesa#1 sala spinning#2 frontón#3 multifitness#9 pared eskalada;San Bartolome 21 ;Ibarra;042;Gipuzkoa;20;34943670415
2236;ACADEMIA DE DANZA EKINTZA;;Euskal Herria 17 ;Ibarra;042;Gipuzkoa;20;34943670415
2237;PARQUE SALUDABLE;Parque saludable;Lapurdi kalea S/N ;Galdakao;036;Bizkaia;48;34944010572
2238;PISTA DEPORTIVA DE ARMIÑON;Pista deportiva;REAL KALEA S/N ;Armiñón;006;Araba/Álava;01;34945365088
2239;FRONTON MUNICIPAL;Frontón;Barrio de la Cruz s/n ;Galdakao;036;Bizkaia;48;34944010572
2240;SL SENDA ETXAGUEN;Senda etxaguen;C/ DE OKETA S/N ;Zigoitia;018;Araba/Álava;01;34945464041
2241;FRONTON DE BEKEA;Frontón;Bekea auzoa s/n ;Galdakao;036;Bizkaia;48;34944010572
2242;SL SENDA ZUBIALDE;Senda zubialde;CANTERAS DE MURUA s/N ;Zigoitia;018;Araba/Álava;01;34945464041
2243;FRONTON APERRIBAI;Frontón;Calle Sierra Ganguren 12 ;Galdakao;036;Bizkaia;48;34944010572
2244;PISTA POLIDEPORTIVA;Pista polideportiva;Bº Iberlanda s/n ;Arrankudiaga;009;Bizkaia;48;34946481712
2245;C.E.I.P. IGANCIO ZUBIZARRETA;Pista polideportiva#Pista baloncesto #Pista tenis #Pista polideportiva con frontón;Bº Olabarri 34 ;Igorre;094;Bizkaia;48;34946736022
2246;ZONA DE CAZA CONTROLADA;Zona de caza controlada;PORTU KALEA SN ;Elantxobe;031;Bizkaia;48;34946276108
2247;FRONTÓN MUNICIPAL;Frontón;SAN NIKOLAS PLAZA S/N ;Elantxobe;031;Bizkaia;48;34946276108
2248;CAMPO DE FÚTBOL DE SANTURDE;Campo futbol;CALLE PRINCIPAL S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2249;BOLERA DE SANTURDE;Bolera;PLAZA DE LA IGLESIA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2250;BOLERA DE MIJANCAS;Bolera;MIJANCAS KALEA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
2251;CEIP MUSKIZKO IKASTOLA;Sala polivalente#Pista polideportiva#Pista polideportiva pequeña;Errota zahar kalea 1 ;Muskiz;071;Bizkaia;48;34946707873
2252;HIPICA ERIBE;Picadero;ERIBE  S/N ;Zigoitia;018;Araba/Álava;01;
2253;IES MUSKIZ;Sala polivalente#Pista polideportiva con pared#Pista polideportiva#Frontón#Pista  baloncesto;Calle Gurugu Memerea 12 ;Muskiz;071;Bizkaia;48;34946708345
2254;BOLERA MUNICIPAL;Bolera;BARRIO DE NATXITUA S/N ;Artea;023;Bizkaia;48;34946275227
2255;FRONTÓN URRITZONDO;Frontón;Kasko-gain s/n ;Orendain;905;Gipuzkoa;20;34943654064
2256;POLIDEPORTIVO MUNICIPAL ESKOLONDO;Frontón cubierto;C/ KAIBIDEA S/N ;Artea;023;Bizkaia;48;34946275227
2257;PR-GI 81 VAGUADA DE URRUTUME;Sendero;Simon Labayen enparantza s/n ;Albiztur;004;Gipuzkoa;20;34943697413
2258;CLUB HIPICO ETXABARRI-IBIÑA;Picadero;Celaya,  1 ;Zigoitia;018;Araba/Álava;01;34945460072
2259;BOLERA DE ACOSTA;;C/ DE ELIZANDE S/N ;Zigoitia;018;Araba/Álava;01;34945464041
2260;FRONTÓN MUNICIPAL DE LEGORRETA;Rocódromo#Frontón;Korta eta Zapas enparantza s/n ;Legorreta;052;Gipuzkoa;20;34943084000
2261;IES SOMORROSTRO;Sala polivalente#Pista polideportiva grande#Pista polideportiva pequeña;Barrio San Juan 10 ;Muskiz;071;Bizkaia;48;34946706045
2262;CARRIL BICI DEL UROLA;Carril bici;C/ IPEÑARRIETA S/N ;Urretxu;077;Gipuzkoa;20;34943038080
2263;PR-BI 161 EN PLENO CORAZÓN DEL ENCINAR;Sendero;AKORDA AUZOA S/N ;Ibarrangelu;048;Bizkaia;48;34946276004
2264;PR-BI 165 ATALAYA PRIVILIGIADA PARA LA CAZA DE BALLENAS;Sendero;IBINAGA AUZOA S/N ;Ibarrangelu;048;Bizkaia;48;34946276004
2265;CENTRO DE TURISMO ACTIVO Y DEPORTES DE AVENTURA UR URDAIBAI;Centro;ARKETA AUZOA SN ;Ibarrangelu;048;Bizkaia;48;34946276661
2266;ZONA DE CAZA CONTROLADA;Ibilbidea-sendero;ARBOLIZ AUZOA SN ;Ibarrangelu;048;Bizkaia;48;34946276004
2267;GR 98 'VUELTA A LA RESERVA DE LA BIOSFERA DE URDABAI;Sendero;ARBOLIZ AUZOA S/N ;Ibarrangelu;048;Bizkaia;48;34946276004
2268;GR 283 RUTA DEL QUESO;Sendero;Bº ERREKALDE S/N ;Olaberria;058;Gipuzkoa;20;34943881434
2269;FRONTÓN MUNICIPAL IBAETA;Frontón#Carrejo de arrastre;IBAETA AUZOA S/N ;Ibarrangelu;048;Bizkaia;48;34946276004
